"Genename"	0	"1h"	"6h"	"12h"	"24h"	"36h"	"48h"	"72h"
ENSMUSG00000001156:MXD1	0.00	0.62	-0.47	-0.60	-0.72	-1.36	-1.46	-1.38
ENSMUSG00000001173:OCRL	0.00	-0.07	-0.73	-0.81	-0.81	-1.62	-1.14	-0.41
ENSMUSG00000001227:SEMA6B	0.00	-0.30	-0.19	-0.07	0.14	0.50	1.04	1.16
ENSMUSG00000001228:UHRF1	0.00	-0.11	-0.54	-0.05	0.04	-0.04	-0.67	-1.40
ENSMUSG00000001240:RAMP2	0.00	-0.66	-0.77	-0.94	0.01	2.26	2.13	1.40
ENSMUSG00000001247:LSR	0.00	0.02	-0.38	-0.28	0.74	2.06	2.28	2.07
ENSMUSG00000001248:GRAMD1A	0.00	-0.89	-1.05	-1.29	-1.55	-1.98	-2.10	-1.40
ENSMUSG00000001249:HPN	0.00	0.18	-0.56	-0.18	1.96	2.90	3.73	3.87
ENSMUSG00000001270:CKB	0.00	-0.17	-0.67	-1.38	-2.99	-4.78	-4.74	-4.19
ENSMUSG00000001281:ITGB7	0.00	-0.56	-0.97	0.19	0.32	-0.56	-1.16	-2.56
ENSMUSG00000001288:RARG	0.00	-0.23	1.04	1.68	1.74	1.47	1.25	0.86
ENSMUSG00000001300:EFNB2	0.00	0.90	1.41	2.61	3.87	4.10	3.47	2.87
ENSMUSG00000001323:SRR	0.00	-0.02	-0.63	-0.71	-1.04	-1.06	-0.79	0.19
ENSMUSG00000001333:SYNC	0.00	-0.02	-0.07	-0.54	-1.72	-2.36	-2.04	-2.07
ENSMUSG00000001334:FNDC5	0.00	0.64	1.06	1.07	1.16	0.80	1.96	2.69
ENSMUSG00000001348:ACP5	0.00	-0.10	-2.11	-1.57	-1.50	-1.18	-0.95	-1.36
ENSMUSG00000001349:CNN1	0.00	0.52	0.17	0.04	1.84	3.15	4.94	6.97
ENSMUSG00000001417:NA	0.00	-0.03	-0.36	0.15	-0.62	-1.75	-2.07	-2.29
ENSMUSG00000001418:GLMP	0.00	-0.22	-0.97	-1.04	-1.26	-1.69	-1.74	-1.71
ENSMUSG00000001435:COL18A1	0.00	-0.35	0.64	1.55	1.97	2.28	2.13	1.98
ENSMUSG00000001473:TUBB6	0.00	0.27	0.30	0.22	0.47	0.30	1.01	1.58
ENSMUSG00000001493:MEOX1	0.00	0.10	0.52	0.95	1.08	1.21	0.73	0.14
ENSMUSG00000001504:IRX2	0.00	0.07	-0.17	-0.16	-1.16	-1.07	-0.72	-1.13
ENSMUSG00000001507:ITGA3	0.00	0.52	1.91	2.36	1.91	2.85	2.29	2.35
ENSMUSG00000001552:JUP	0.00	-0.20	0.68	0.42	-0.07	-1.25	-1.81	-1.75
ENSMUSG00000001555:FKBP10	0.00	0.12	-0.02	0.85	1.93	2.95	3.13	3.42
ENSMUSG00000001576:ERGIC1	0.00	-0.28	-1.21	-0.46	-0.54	-1.29	-1.07	-0.08
ENSMUSG00000001583:TNK1	0.00	-1.30	-1.83	-1.41	-1.36	-0.55	0.26	0.81
ENSMUSG00000001604:TCEA3	0.00	-0.35	0.24	1.21	0.86	0.38	-0.54	-2.03
ENSMUSG00000001642:AKR1B3	0.00	0.05	0.60	1.10	1.17	1.15	0.56	-0.56
ENSMUSG00000001655:HOXC13	0.00	-0.38	-0.84	-1.31	-2.67	-3.61	-3.48	-4.33
ENSMUSG00000001656:HOXC11	0.00	0.17	-1.03	-1.56	-1.64	-1.48	-1.63	-1.56
ENSMUSG00000001663:GSTT1	0.00	-0.11	-0.69	-0.56	1.20	2.49	3.02	3.31
ENSMUSG00000001672:MARVELD3	0.00	-0.24	-0.26	-1.17	-1.07	0.47	2.88	4.32
ENSMUSG00000001687:UBL3	0.00	0.16	0.70	0.51	0.10	-0.59	-0.95	-1.28
ENSMUSG00000001700:GRAMD3	0.00	0.40	1.48	1.42	4.05	4.50	4.44	4.65
ENSMUSG00000001751:NAGLU	0.00	-1.06	-1.26	-1.74	-1.53	-1.77	-0.38	1.13
ENSMUSG00000001755:COASY	0.00	-0.56	-0.65	-0.76	-0.80	-1.07	-0.25	0.33
ENSMUSG00000001761:SMO	0.00	0.04	-0.25	-0.28	0.11	0.54	1.25	1.74
ENSMUSG00000001763:TSPAN33	0.00	-0.17	-0.12	-0.15	-0.00	0.66	1.57	1.68
ENSMUSG00000001794:CAPNS1	0.00	0.35	-0.02	-0.24	-0.69	-0.84	-1.17	-1.74
ENSMUSG00000001802:LRP3	0.00	-0.27	-1.02	-1.50	-0.78	-0.03	0.79	1.25
ENSMUSG00000001827:FOLR1	0.00	0.77	1.96	2.33	1.78	1.22	-0.48	-3.03
ENSMUSG00000001864:AIF1L	0.00	0.69	-0.56	-0.23	1.05	2.44	3.41	3.20
ENSMUSG00000001870:LTBP1	0.00	-0.13	-0.45	-0.56	-0.75	-0.69	0.35	1.23
ENSMUSG00000001901:KCNH6	0.00	-0.26	-0.44	0.71	0.94	1.62	2.71	2.99
ENSMUSG00000001911:NFIX	0.00	-0.31	-1.15	-0.42	-0.68	-0.68	-1.29	-1.31
ENSMUSG00000001930:VWF	0.00	-0.85	-2.24	-3.60	-3.33	-4.46	-4.69	-5.67
ENSMUSG00000001985:GRIK3	0.00	-0.52	-1.00	-0.83	-1.61	-2.24	-1.60	-0.36
ENSMUSG00000001986:GRIA3	0.00	-0.03	0.12	0.24	0.56	0.10	0.27	1.38
ENSMUSG00000001995:SIPA1L2	0.00	-0.68	-0.69	-0.73	-0.91	-1.00	-1.09	-1.30
ENSMUSG00000002006:PDZD4	0.00	-0.36	2.10	3.15	3.51	3.78	3.86	4.06
ENSMUSG00000002032:TMEM25	0.00	-0.47	-0.90	-0.67	-1.21	-1.10	-0.34	0.21
ENSMUSG00000002043:TRAPPC6A	0.00	-0.81	-1.13	-1.61	-1.44	-1.43	-0.42	0.32
ENSMUSG00000002052:SUPT6	0.00	0.26	0.44	0.63	0.63	1.17	0.81	0.44
ENSMUSG00000002068:CCNE1	0.00	0.48	0.90	1.39	2.01	2.45	1.73	0.68
ENSMUSG00000002076:HSF2BP	0.00	-0.44	-0.41	-0.01	0.43	0.42	-0.29	-1.68
ENSMUSG00000002083:BBC3	0.00	0.23	-0.67	-0.05	0.09	0.05	0.52	1.18
ENSMUSG00000002100:MYBPC3	0.00	-0.24	-1.23	-0.83	-0.79	-2.28	-2.78	-3.70
ENSMUSG00000002104:RAPSN	0.00	-0.33	-1.35	-2.32	-2.64	-2.55	-2.93	-3.92
ENSMUSG00000002105:SLC39A13	0.00	-0.52	-0.78	-0.53	-0.84	-1.00	-0.74	-0.67
ENSMUSG00000002107:CELF2	0.00	-0.31	-0.43	-1.52	-1.05	-1.33	-0.25	0.63
ENSMUSG00000002204:NAPSA	0.00	-1.75	-1.37	-0.20	1.09	-0.78	-2.24	-2.68
ENSMUSG00000002227:MOV10	0.00	-0.68	-0.82	-0.16	-0.39	-1.83	-2.53	-2.54
ENSMUSG00000002228:PPM1J	0.00	-0.89	1.39	1.94	1.69	0.22	-0.74	-0.84
ENSMUSG00000002249:TEAD3	0.00	-0.22	0.44	0.70	0.39	1.19	0.90	1.62
ENSMUSG00000002274:METRN	0.00	-0.28	0.07	0.70	0.97	0.79	1.34	1.07
ENSMUSG00000002289:ANGPTL4	0.00	-1.28	0.19	0.69	0.71	0.56	-0.49	-1.70
ENSMUSG00000002324:REC8	0.00	-0.37	-2.50	-2.92	-3.25	-3.73	-1.77	-1.30
ENSMUSG00000002325:IRF9	0.00	-0.74	-1.32	-1.31	-2.14	-2.40	-2.34	-2.07
ENSMUSG00000002332:DHRS1	0.00	-0.12	-0.62	-0.58	-0.69	-1.41	-0.99	-0.77
ENSMUSG00000002341:NCAN	0.00	0.29	-0.39	0.31	1.72	3.02	4.41	4.70
ENSMUSG00000002342:TMEM161A	0.00	-0.75	-0.88	-0.86	-1.18	-1.20	-0.33	-0.30
ENSMUSG00000002393:NR2F6	0.00	-0.05	0.37	0.48	1.14	1.74	1.61	1.09
ENSMUSG00000002409:DYRK1B	0.00	-0.03	-0.68	-0.40	-0.49	-0.62	-1.21	-0.34
ENSMUSG00000002413:BRAF	0.00	0.25	0.92	1.04	1.59	2.19	1.31	1.19
ENSMUSG00000002458:RGS19	0.00	0.06	0.56	0.51	0.69	0.95	1.21	1.45
ENSMUSG00000002475:ABHD3	0.00	0.23	0.07	-0.39	-1.03	-1.18	-1.08	-0.68
ENSMUSG00000002489:TIAM1	0.00	-0.66	-1.27	-1.48	-1.74	-1.70	-1.18	-0.92
ENSMUSG00000002504:SLC9A3R2	0.00	-0.26	0.47	0.50	0.12	-0.13	-0.94	-1.61
ENSMUSG00000002546:GOLGA2	0.00	-0.10	-0.27	-0.33	-0.73	-0.76	-1.19	-1.11
ENSMUSG00000002565:SCIN	0.00	0.53	0.52	0.39	1.22	1.47	1.79	2.98
ENSMUSG00000002603:TGFB1	0.00	-0.34	0.62	0.46	1.15	1.32	0.16	-0.78
ENSMUSG00000002668:DENND1C	0.00	-0.75	-0.07	-0.14	-0.15	-1.24	-0.58	0.42
ENSMUSG00000002688:PRKD1	0.00	0.30	-0.76	-0.17	-0.09	0.15	0.91	1.65
ENSMUSG00000002768:MEA1	0.00	-0.16	0.07	0.36	0.57	0.82	0.98	1.66
ENSMUSG00000002769:GNMT	0.00	-0.20	-0.71	-0.61	0.29	0.87	2.35	2.92
ENSMUSG00000002778:KDELR1	0.00	-0.18	-0.54	-0.63	-0.93	-1.22	-1.00	-0.73
ENSMUSG00000002799:JAG2	0.00	-0.46	-0.90	-0.08	0.40	-0.05	1.54	1.81
ENSMUSG00000002803:BTBD6	0.00	-0.24	0.05	0.09	0.26	0.58	1.07	1.43
ENSMUSG00000002804:NUDT14	0.00	-0.15	-0.02	0.13	0.57	0.50	1.32	1.64
ENSMUSG00000002808:EPDR1	0.00	-0.94	-0.31	0.09	1.04	1.35	1.80	2.22
ENSMUSG00000002812:FLII	0.00	-0.29	-0.61	-0.76	-1.04	-1.31	-1.25	-0.80
ENSMUSG00000002814:TOP3A	0.00	-0.07	-0.21	-0.23	-0.45	-0.45	-0.94	-1.13
ENSMUSG00000002825:QTRT1	0.00	-0.18	-0.54	-0.23	-0.48	-0.54	-0.52	-1.05
ENSMUSG00000002844:ADPRH	0.00	-0.40	-0.14	0.26	0.53	0.11	-1.37	-1.63
ENSMUSG00000002845:TMEM39A	0.00	-0.19	-0.69	-0.64	-0.88	-0.99	-1.41	-1.58
ENSMUSG00000002847:PLA1A	0.00	-0.90	-1.20	-1.22	-1.36	-2.88	-2.94	-2.98
ENSMUSG00000002871:TPRA1	0.00	-0.79	-0.68	-0.77	-0.99	-1.19	-0.55	-0.15
ENSMUSG00000002881:NAB1	0.00	0.99	1.74	0.67	0.31	-0.37	-0.35	0.59
ENSMUSG00000002885:ADGRE5	0.00	0.14	-0.30	-1.20	-1.66	-3.02	-3.99	-4.99
ENSMUSG00000002900:LAMB1	0.00	0.07	1.55	0.72	1.04	3.10	3.34	3.50
ENSMUSG00000002983:RELB	0.00	-0.54	-1.16	-1.62	-1.96	-2.58	-2.18	-2.08
ENSMUSG00000002985:APOE	0.00	-0.76	-1.03	-1.87	-2.12	-2.45	-2.33	-1.67
ENSMUSG00000002997:PRKAR2B	0.00	-0.15	-0.57	-0.51	0.67	0.70	1.52	2.49
ENSMUSG00000003031:CDKN1B	0.00	-0.45	-1.26	-1.37	-1.17	-1.86	-1.14	-0.03
ENSMUSG00000003032:KLF4	0.00	-0.13	-2.22	-2.35	-3.68	-6.44	-6.37	-6.57
ENSMUSG00000003033:AP1M1	0.00	-0.15	-0.06	0.03	-0.36	-0.91	-1.42	-1.39
ENSMUSG00000003051:ELF3	0.00	-0.84	-1.92	-2.41	-2.78	-3.83	-3.52	-3.80
ENSMUSG00000003123:LIPE	0.00	-0.44	-0.13	-0.01	-0.44	-1.15	-1.74	-2.22
ENSMUSG00000003134:TBC1D8	0.00	-0.16	-0.84	-1.01	-1.74	-2.90	-2.62	-1.89
ENSMUSG00000003153:SLC2A3	0.00	-0.18	-0.49	-0.99	-1.88	-3.99	-3.38	-2.70
ENSMUSG00000003161:SRI	0.00	0.18	0.35	0.25	0.02	-1.04	-1.32	-0.21
ENSMUSG00000003227:EDAR	0.00	0.04	0.25	0.64	1.14	0.72	0.88	1.27
ENSMUSG00000003233:DVL3	0.00	-0.60	-0.71	-0.81	-0.97	-0.81	-1.34	-1.04
ENSMUSG00000003282:PLAG1	0.00	0.08	-0.45	-0.45	-0.67	-0.93	-0.67	1.02
ENSMUSG00000003308:KEAP1	0.00	-0.28	-0.40	-0.64	-1.08	-1.06	-1.86	-1.70
ENSMUSG00000003309:AP1M2	0.00	-0.83	-1.18	-2.04	-1.64	-0.57	1.40	2.87
ENSMUSG00000003341:ATP8B3	0.00	-0.60	-0.28	-0.09	-0.24	0.85	1.27	1.60
ENSMUSG00000003355:FKBP11	0.00	-0.02	-0.52	0.49	1.03	1.28	1.41	0.67
ENSMUSG00000003378:GRIK5	0.00	-0.61	-1.11	-0.84	-0.23	1.27	1.76	2.01
ENSMUSG00000003379:CD79A	0.00	0.62	0.17	0.02	0.32	0.95	1.55	0.73
ENSMUSG00000003382:ETV3	0.00	0.49	-0.17	-0.33	-0.64	-1.13	-1.25	-0.77
ENSMUSG00000003410:ELAVL3	0.00	0.10	-0.58	0.26	0.85	1.47	2.32	2.59
ENSMUSG00000003418:ST8SIA6	0.00	0.07	0.29	-0.07	-0.54	-2.57	-3.26	-5.51
ENSMUSG00000003420:FCGRT	0.00	0.47	-0.83	-0.79	-1.20	-2.84	-2.28	-2.50
ENSMUSG00000003436:DLL3	0.00	0.07	-0.53	-0.22	1.48	2.85	3.03	2.97
ENSMUSG00000003452:BICD1	0.00	0.54	0.22	0.47	0.50	0.91	1.10	1.49
ENSMUSG00000003458:NCSTN	0.00	-0.09	-0.22	-0.48	-1.00	-1.23	-1.19	-0.85
ENSMUSG00000003476:CRHR2	0.00	-0.21	-0.70	-0.58	-0.86	-1.09	-1.68	-2.45
ENSMUSG00000003518:DUSP3	0.00	-0.57	-0.91	-0.45	0.49	1.00	1.39	1.88
ENSMUSG00000003534:DDR1	0.00	-0.46	0.68	1.03	1.96	2.49	3.05	3.51
ENSMUSG00000003585:SEC14L2	0.00	-0.11	-0.25	-0.31	0.43	0.14	-0.35	-1.05
ENSMUSG00000003657:CALB2	0.00	-0.81	-1.48	-2.32	-2.38	-2.16	-2.58	-2.91
ENSMUSG00000003746:MAN1A	0.00	0.52	0.57	-0.19	0.04	-0.55	0.42	1.37
ENSMUSG00000003752:ITPKC	0.00	-0.20	-0.39	-0.82	-1.20	-1.15	-1.21	-0.98
ENSMUSG00000003809:GCDH	0.00	-0.25	-0.26	0.08	-0.04	-0.64	-1.20	-1.25
ENSMUSG00000003812:DNASE2A	0.00	-0.45	-1.52	-1.31	-1.31	-1.29	-1.62	-1.90
ENSMUSG00000003824:SYCE2	0.00	-0.02	-0.62	-0.18	0.92	1.12	1.63	0.81
ENSMUSG00000003849:NQO1	0.00	0.25	0.05	-0.09	0.43	0.33	-1.13	-2.78
ENSMUSG00000003865:GYS1	0.00	-0.36	-1.19	-0.94	-0.96	-1.39	-1.31	-1.46
ENSMUSG00000003872:LIN7B	0.00	-0.17	-0.58	-0.37	-0.17	-0.74	-0.71	-1.40
ENSMUSG00000003948:MMD	0.00	-0.31	-1.56	-1.90	-1.90	-2.33	-1.04	0.07
ENSMUSG00000003992:SSBP2	0.00	-0.05	1.34	1.84	1.50	1.51	1.65	2.13
ENSMUSG00000004031:BRINP2	0.00	0.88	0.67	1.42	2.98	3.41	3.35	4.79
ENSMUSG00000004032:GSTM5	0.00	0.18	-0.02	-0.14	0.28	0.81	2.00	2.75
ENSMUSG00000004038:GSTM3	0.00	0.18	-0.80	-1.26	-1.83	-1.99	-2.10	-2.19
ENSMUSG00000004040:STAT3	0.00	-0.20	-1.95	-2.11	-2.29	-2.88	-2.88	-2.73
ENSMUSG00000004043:STAT5A	0.00	-0.53	0.21	-0.24	-0.80	-1.44	-2.08	-1.61
ENSMUSG00000004044:PTRF	0.00	1.03	3.86	1.33	-0.70	-1.84	-1.34	-0.67
ENSMUSG00000004056:AKT2	0.00	-0.07	-0.45	-0.53	-0.69	-0.60	-0.82	-1.01
ENSMUSG00000004105:ANGPTL2	0.00	-0.61	-1.23	-0.92	-1.57	-0.87	0.04	1.77
ENSMUSG00000004113:CACNA1B	0.00	-0.31	0.74	1.55	3.38	4.24	4.01	4.68
ENSMUSG00000004187:KIFC2	0.00	-0.83	-1.20	-0.39	-0.97	-1.26	-1.49	-1.38
ENSMUSG00000004207:PSAP	0.00	-0.24	-0.43	-0.80	-1.17	-1.47	-0.93	-0.61
ENSMUSG00000004267:ENO2	0.00	-0.87	-1.34	-1.16	-1.49	-1.79	-0.89	-0.30
ENSMUSG00000004270:LPCAT3	0.00	-0.15	-0.73	-0.59	-0.86	-1.27	-0.90	-0.82
ENSMUSG00000004347:PDE1C	0.00	0.18	0.36	-0.17	0.92	0.93	1.54	2.31
ENSMUSG00000004359:SPIC	0.00	0.59	-1.69	-2.75	-4.24	-6.36	-6.65	-6.92
ENSMUSG00000004383:LARGE	0.00	-0.25	-0.51	-0.74	-0.64	-1.65	-1.21	-0.89
ENSMUSG00000004451:RALB	0.00	-0.33	-1.11	-1.21	-1.57	-2.84	-1.72	-1.27
ENSMUSG00000004508:GAB2	0.00	-0.55	-1.03	-1.44	-1.01	-0.99	-0.46	1.17
ENSMUSG00000004562:ARHGEF40	0.00	-0.03	0.29	0.21	-0.17	-0.29	0.89	1.86
ENSMUSG00000004610:ETFB	0.00	-0.21	-0.16	-0.20	-0.49	-1.02	-0.98	-1.12
ENSMUSG00000004631:SGCE	0.00	0.11	1.19	0.68	0.90	0.43	2.08	3.38
ENSMUSG00000004637:WWOX	0.00	-0.41	-0.57	-1.06	-0.81	-1.25	-1.29	-0.90
ENSMUSG00000004651:TYR	0.00	0.08	0.00	0.07	0.54	1.36	0.56	0.32
ENSMUSG00000004665:CNN2	0.00	0.48	0.25	0.22	1.48	1.52	2.36	4.87
ENSMUSG00000004668:ABCA13	0.00	0.55	-0.75	-0.14	0.68	0.78	-0.73	-1.48
ENSMUSG00000004698:HDAC9	0.00	0.02	-0.31	0.98	2.07	2.28	3.01	3.15
ENSMUSG00000004709:CD244	0.00	-0.03	0.60	-0.09	-0.82	-1.20	-1.13	-1.23
ENSMUSG00000004791:PGF	0.00	-0.06	-0.42	-0.23	-0.10	0.40	1.39	0.82
ENSMUSG00000004798:ULK2	0.00	-0.04	-0.02	-0.68	-0.53	-1.31	-0.30	1.61
ENSMUSG00000004837:GRAP	0.00	0.75	1.21	0.62	-0.37	-0.72	-0.63	-0.58
ENSMUSG00000004843:CHMP2B	0.00	0.22	0.14	-0.56	-0.62	-1.05	-0.56	0.28
ENSMUSG00000004864:MAPK13	0.00	-0.11	-0.82	-1.33	-0.93	-1.21	0.68	1.60
ENSMUSG00000004865:SRPK1	0.00	0.10	0.31	0.52	0.57	1.04	0.76	0.73
ENSMUSG00000004885:CRABP2	0.00	0.52	0.23	1.95	2.96	4.06	3.51	2.42
ENSMUSG00000004891:NES	0.00	0.53	0.88	0.09	-0.88	-0.15	1.43	3.14
ENSMUSG00000004897:HDGF	0.00	-0.09	0.24	0.37	0.58	0.76	1.05	0.87
ENSMUSG00000004929:THOP1	0.00	-0.20	-0.03	0.40	0.59	1.16	1.46	0.99
ENSMUSG00000004933:MATK	0.00	-0.46	-1.20	-0.97	-0.90	-1.83	-0.21	0.70
